T_K,T_C,vertex,fraction,CU,NI,CR,SI
1469.65,1196.5,1,0.9842485686294664,0.008632492007011614,0.9553256554095104,0.02264248361055948,0.013399368972918619
1470.15,1197.0,0,0.015715312035336285,0.07241524627918612,0.01377658125204147,0.6181578797904547,0.2956502926783179
1470.15,1197.0,1,0.9842846879756196,0.008636343583524306,0.9552907034457259,0.02266398171601253,0.013408971254737171
1470.65,1197.5,0,0.015679189066782947,0.07232099119720929,0.013801661577771915,0.6181799089580848,0.295697438266934
1470.65,1197.5,1,0.984320810938327,0.00864018555138742,0.9552557519059502,0.02268548446997429,0.013418578072688012
1471.15,1198.0,0,0.015643062481268177,0.07222690121374442,0.013826774659474492,0.6182017868627915,0.2957445372639896
1471.15,1198.0,1,0.9843569375547473,0.008644017924367017,0.9552208007858637,0.022706991863919664,0.013428189425849842
1471.65,1198.5,0,0.015606932217193632,0.07213297630024927,0.013851920533753666,0.6182235134915197,0.29579158967447733
1471.65,1198.5,1,0.9843930677733089,0.00864784073908804,0.9551858500634339,0.02272850388339212,0.013437805314085866
1472.15,1199.0,0,0.015570798291816075,0.07203921612982939,0.013877099234991147,0.6182450890525789,0.2958385955826006
1472.15,1199.0,1,0.9844292016734496,0.008651654003153876,0.9551508997383484,0.02275002051928101,0.013447425739216626
1472.65,1199.5,0,0.015534660746141352,0.07194562053051101,0.013902310798332823,0.6182665136820599,0.2958855549890962
1472.65,1199.5,1,0.9844653392150575,0.008655457739609832,0.9551159498022738,0.02277154177191202,0.013457050686204343
1473.15,1200.0,0,0.015498519481830245,0.07185218936237937,0.013927555260255069,0.6182877874013927,0.2959324679759729
1473.15,1200.0,1,0.9845014804997022,0.008659251974173159,0.9550810002371758,0.02279306761523882,0.013466680173412317
1473.65,1200.5,0,0.015462374519706105,0.07175892238586877,0.01395283265552381,0.6183089103949249,0.2959793345636825
1473.65,1200.5,1,0.9845376254742918,0.00866303672341184,0.9550460510393407,0.02281459805033674,0.013476314186910905
1474.15,1201.0,0,0.015426225856239071,0.07166581957969986,0.013978143020955312,0.6183298826589814,0.2960261547403634
1474.15,1201.0,1,0.9845737741554429,0.008666812025330865,0.9550111021867086,0.022836133067017924,0.013485952720942707
1474.65,1201.5,0,0.015390073423811455,0.07157288057933577,0.014003486391157324,0.6183507044091385,0.2960729286203684
1474.65,1201.5,1,0.9846099265853574,0.008670577883938185,0.9549761536797474,0.022857672651178114,0.013495595785136342
1475.15,1202.0,0,0.015353917248172479,0.0714801053313614,0.01402886280299736,0.6183713756505779,0.2961196562150633
1475.15,1202.0,1,0.9846460827340379,0.008674334334168926,0.9549412054973573,0.022879216789009896,0.013505243379463952
1475.65,1202.5,0,0.015317757344098232,0.07138749350085741,0.014054272290602403,0.6183918966485035,0.2961663375600368
1475.65,1202.5,1,0.9846822426473492,0.008678081383475469,0.9549062576433716,0.022900765486359987,0.013514895486792989
1476.15,1203.0,0,0.015281593653280929,0.07129504502573628,0.01407971489118119,0.6184122673897753,0.29621297269330726
1476.15,1203.0,1,0.9847184063724908,0.00868181906596898,0.9548713100951397,0.02292231872260895,0.013524552116282305
1476.65,1203.5,0,0.01524542615105405,0.07120275964937485,0.014105190640218665,0.6184324880276929,0.29625956168271356
1476.65,1203.5,1,0.9847545738526278,0.008685547396653155,0.9548363628462143,0.02294387648695162,0.013534213270181063
1477.15,1204.0,0,0.015209254825143907,0.07111063729715693,0.014130699574491987,0.6184525585985551,0.2963061045297961
1477.15,1204.0,1,0.9847907451572782,0.008689266408873063,0.9548014158777999,0.022965438770508415,0.01354387894281868
1477.65,1204.5,0,0.01517307970398008,0.0710186775385141,0.01415624172792366,0.6184724794096073,0.296352601323955
